food,protein_g,carbs_g,fat_g,kcal
pechuga de pollo (cocida),31,0,3.6,165
merluza (cocida),22,0,2,112
salmón (cocido),25,0,13,208
huevo,13,1.1,11,155
clara de huevo,11,0.7,0.2,52
batata/papa dulce (hervida),1.6,20,0.1,90
papa (hervida),2,17,0.1,87
arroz integral (cocido),2.6,23,0.9,111
quinoa (cocida),4.4,21,1.9,120
brócoli,2.8,7,0.4,34
zucchini,1.2,3.1,0.3,17
frutilla/fresa,0.7,7.7,0.3,33
palta/aguacate,2,9,15,160
almendras,21,22,49,579
aceite de oliva,0,0,100,884
yogur natural,3.5,4.7,3.3,61
